m49_code,country,region,cpc_code,commodity,year,loss_percentage,loss_percentage_original,loss_quantity,activity,food_supply_stage,treatment,cause_of_loss,sample_size,method_data_collection,reference,url,notes
50,Bangladesh,Dinajpur,113,Rice,2009,0.04,0.04%,,Parboiling,Farm,Boro rice,,933,Survey,"B K Bala; M A Haque; Md. Anower Hossain; Shankar Majumdar, (2010), Post Harvest Loss And Technical Efficiency Of Rice, Wheat And Maize Production System: Assessment And Measures For Strengthening Food Security",,
50,Bangladesh,Dinajpur,113,Rice,2009,0.45,0.45%,,Threshing,Farm,Aus rice,,933,Survey,"B K Bala; M A Haque; Md. Anower Hossain; Shankar Majumdar, (2010), Post Harvest Loss And Technical Efficiency Of Rice, Wheat And Maize Production System: Assessment And Measures For Strengthening Food Security",,
50,Bangladesh,Khulna,113,Rice,2009,1.02,0.62%,,Threshing,Farm,Aman rice,,933,Survey,"B K Bala; M A Haque; Md. Anower Hossain; Shankar Majumdar, (2010), Post Harvest Loss And Technical Efficiency Of Rice, Wheat And Maize Production System: Assessment And Measures For Strengthening Food Security",,
50,Bangladesh,Dinajpur,113,Rice,2009,1.51,1.51%,,Harvesting,Harvest,Aman rice,,933,Survey,"B K Bala; M A Haque; Md. Anower Hossain; Shankar Majumdar, (2010), Post Harvest Loss And Technical Efficiency Of Rice, Wheat And Maize Production System: Assessment And Measures For Strengthening Food Security",,
50,Bangladesh,Dinajpur,113,Rice,2009,2.38,1.98%,,Processing,Processing,Boro rice,,933,Survey,"B K Bala; M A Haque; Md. Anower Hossain; Shankar Majumdar, (2010), Post Harvest Loss And Technical Efficiency Of Rice, Wheat And Maize Production System: Assessment And Measures For Strengthening Food Security",,
50,Bangladesh,Dinajpur,113,Rice,2009,0.27,0.27%,,Retailing,Retail,Boro rice,,933,Survey,"B K Bala; M A Haque; Md. Anower Hossain; Shankar Majumdar, (2010), Post Harvest Loss And Technical Efficiency Of Rice, Wheat And Maize Production System: Assessment And Measures For Strengthening Food Security",,
50,Bangladesh,Dinajpur,113,Rice,2009,0.24,0.24%,,Retailing,Retail,Aman rice,,933,Survey,"B K Bala; M A Haque; Md. Anower Hossain; Shankar Majumdar, (2010), Post Harvest Loss And Technical Efficiency Of Rice, Wheat And Maize Production System: Assessment And Measures For Strengthening Food Security",,
50,Bangladesh,Dinajpur,113,Rice,2009,0.26,0.26%,,Retailing,Retail,Aus rice,,933,Survey,"B K Bala; M A Haque; Md. Anower Hossain; Shankar Majumdar, (2010), Post Harvest Loss And Technical Efficiency Of Rice, Wheat And Maize Production System: Assessment And Measures For Strengthening Food Security",,
50,Bangladesh,,113,Rice,2009,11.14,10.74%,,"Cleaning, Collection, Distribution, Drying, Field, Harvesting, Shelling, Storage, Threshing, Transportation",Whole supply chain,Aman rice,,933,Survey,"B K Bala; M A Haque; Md. Anower Hossain; Shankar Majumdar, (2010), Post Harvest Loss And Technical Efficiency Of Rice, Wheat And Maize Production System: Assessment And Measures For Strengthening Food Security",,
50,Bangladesh,Comilla,113,Rice,2009,6.48,6.48%,,"Cleaning, Collection, Distribution, Drying, Field, Harvesting, Shelling, Storage, Threshing, Transportation",Whole supply chain,Aman rice,,933,Survey,"B K Bala; M A Haque; Md. Anower Hossain; Shankar Majumdar, (2010), Post Harvest Loss And Technical Efficiency Of Rice, Wheat And Maize Production System: Assessment And Measures For Strengthening Food Security",,
50,Bangladesh,,113,Rice,2009,1.1,1.10%,,Threshing,Farm,Aman rice,,933,Survey,"B K Bala; M A Haque; Md. Anower Hossain; Shankar Majumdar, (2010), Post Harvest Loss And Technical Efficiency Of Rice, Wheat And Maize Production System: Assessment And Measures For Strengthening Food Security",,
50,Bangladesh,Comilla,113,Rice,2009,1.4,1.40%,,Drying,Farm,Aman rice,,933,Survey,"B K Bala; M A Haque; Md. Anower Hossain; Shankar Majumdar, (2010), Post Harvest Loss And Technical Efficiency Of Rice, Wheat And Maize Production System: Assessment And Measures For Strengthening Food Security",,
50,Bangladesh,,113,Rice,2009,2.02,1.62%,,Harvesting,Harvest,Boro rice,,933,Survey,"B K Bala; M A Haque; Md. Anower Hossain; Shankar Majumdar, (2010), Post Harvest Loss And Technical Efficiency Of Rice, Wheat And Maize Production System: Assessment And Measures For Strengthening Food Security",,
50,Bangladesh,Comilla,113,Rice,2009,1.07,1.07%,,Harvesting,Harvest,Aman rice,,933,Survey,"B K Bala; M A Haque; Md. Anower Hossain; Shankar Majumdar, (2010), Post Harvest Loss And Technical Efficiency Of Rice, Wheat And Maize Production System: Assessment And Measures For Strengthening Food Security",,
50,Bangladesh,Comilla,113,Rice,2009,0.13,0.13%,,Processing,Processing,Aus rice,,933,Survey,"B K Bala; M A Haque; Md. Anower Hossain; Shankar Majumdar, (2010), Post Harvest Loss And Technical Efficiency Of Rice, Wheat And Maize Production System: Assessment And Measures For Strengthening Food Security",,
50,Bangladesh,Comilla,113,Rice,2009,0.13,0.13%,,Processing,Processing,Boro rice,,933,Survey,"B K Bala; M A Haque; Md. Anower Hossain; Shankar Majumdar, (2010), Post Harvest Loss And Technical Efficiency Of Rice, Wheat And Maize Production System: Assessment And Measures For Strengthening Food Security",,
50,Bangladesh,Comilla,113,Rice,2009,0.13,0.13%,,Processing,Processing,Aman rice,,933,Survey,"B K Bala; M A Haque; Md. Anower Hossain; Shankar Majumdar, (2010), Post Harvest Loss And Technical Efficiency Of Rice, Wheat And Maize Production System: Assessment And Measures For Strengthening Food Security",,
50,Bangladesh,Khulna,113,Rice,2009,13.31,13.31%,,"Cleaning, Collection, Distribution, Drying, Field, Harvesting, Shelling, Storage, Threshing, Transportation",Whole supply chain,Boro rice,,933,Survey,"B K Bala; M A Haque; Md. Anower Hossain; Shankar Majumdar, (2010), Post Harvest Loss And Technical Efficiency Of Rice, Wheat And Maize Production System: Assessment And Measures For Strengthening Food Security",,
50,Bangladesh,Khulna,113,Rice,2009,1.09,0.69%,,Transportation,Transport,Aman rice,,933,Survey,"B K Bala; M A Haque; Md. Anower Hossain; Shankar Majumdar, (2010), Post Harvest Loss And Technical Efficiency Of Rice, Wheat And Maize Production System: Assessment And Measures For Strengthening Food Security",,
50,Bangladesh,Khulna,113,Rice,2009,6.13,5.73%,,Storage,Storage,Boro rice,,933,Survey,"B K Bala; M A Haque; Md. Anower Hossain; Shankar Majumdar, (2010), Post Harvest Loss And Technical Efficiency Of Rice, Wheat And Maize Production System: Assessment And Measures For Strengthening Food Security",,
50,Bangladesh,Khulna,113,Rice,2009,0.16,0.16%,,Wholesale,Wholesale,Aman rice,,933,Survey,"B K Bala; M A Haque; Md. Anower Hossain; Shankar Majumdar, (2010), Post Harvest Loss And Technical Efficiency Of Rice, Wheat And Maize Production System: Assessment And Measures For Strengthening Food Security",,
50,Bangladesh,Khulna,113,Rice,2009,0.13,0.13%,,Wholesale,Wholesale,Boro rice,,933,Survey,"B K Bala; M A Haque; Md. Anower Hossain; Shankar Majumdar, (2010), Post Harvest Loss And Technical Efficiency Of Rice, Wheat And Maize Production System: Assessment And Measures For Strengthening Food Security",,
50,Bangladesh,,113,Rice,2009,12.11,11.71%,,"Cleaning, Collection, Distribution, Drying, Field, Harvesting, Shelling, Storage, Threshing, Transportation",Whole supply chain,Boro rice,,933,Survey,"B K Bala; M A Haque; Md. Anower Hossain; Shankar Majumdar, (2010), Post Harvest Loss And Technical Efficiency Of Rice, Wheat And Maize Production System: Assessment And Measures For Strengthening Food Security",,
50,Bangladesh,,113,Rice,2009,4.14,4.14%,,Storage,Storage,Boro rice,,933,Survey,"B K Bala; M A Haque; Md. Anower Hossain; Shankar Majumdar, (2010), Post Harvest Loss And Technical Efficiency Of Rice, Wheat And Maize Production System: Assessment And Measures For Strengthening Food Security",,
50,Bangladesh,,113,Rice,2009,1.13,1.13%,,Transportation,Transport,Boro rice,,933,Survey,"B K Bala; M A Haque; Md. Anower Hossain; Shankar Majumdar, (2010), Post Harvest Loss And Technical Efficiency Of Rice, Wheat And Maize Production System: Assessment And Measures For Strengthening Food Security",,
50,Bangladesh,,113,Rice,2009,1.22,1.22%,,Threshing,Farm,Boro rice,,933,Survey,"B K Bala; M A Haque; Md. Anower Hossain; Shankar Majumdar, (2010), Post Harvest Loss And Technical Efficiency Of Rice, Wheat And Maize Production System: Assessment And Measures For Strengthening Food Security",,
50,Bangladesh,,113,Rice,2009,0.03,0.03%,,Parboiling,Farm,Boro rice,,933,Survey,"B K Bala; M A Haque; Md. Anower Hossain; Shankar Majumdar, (2010), Post Harvest Loss And Technical Efficiency Of Rice, Wheat And Maize Production System: Assessment And Measures For Strengthening Food Security",,
50,Bangladesh,,113,Rice,2009,3.45,3.45%,,Storage,Storage,Aus rice,,933,Survey,"B K Bala; M A Haque; Md. Anower Hossain; Shankar Majumdar, (2010), Post Harvest Loss And Technical Efficiency Of Rice, Wheat And Maize Production System: Assessment And Measures For Strengthening Food Security",,
50,Bangladesh,,113,Rice,2009,1.07,1.07%,,Transportation,Transport,Aus rice,,933,Survey,"B K Bala; M A Haque; Md. Anower Hossain; Shankar Majumdar, (2010), Post Harvest Loss And Technical Efficiency Of Rice, Wheat And Maize Production System: Assessment And Measures For Strengthening Food Security",,
50,Bangladesh,Dinajpur,113,Rice,2009,11.36,10.96%,,"Cleaning, Collection, Distribution, Drying, Field, Harvesting, Shelling, Storage, Threshing, Transportation",Whole supply chain,Aman rice,,933,Survey,"B K Bala; M A Haque; Md. Anower Hossain; Shankar Majumdar, (2010), Post Harvest Loss And Technical Efficiency Of Rice, Wheat And Maize Production System: Assessment And Measures For Strengthening Food Security",,
50,Bangladesh,Comilla,113,Rice,2009,2.03,1.63%,,Drying,Farm,Boro rice,,933,Survey,"B K Bala; M A Haque; Md. Anower Hossain; Shankar Majumdar, (2010), Post Harvest Loss And Technical Efficiency Of Rice, Wheat And Maize Production System: Assessment And Measures For Strengthening Food Security",,
50,Bangladesh,Comilla,113,Rice,2009,0.11,0.11%,,Retailing,Retail,Aman rice,,933,Survey,"B K Bala; M A Haque; Md. Anower Hossain; Shankar Majumdar, (2010), Post Harvest Loss And Technical Efficiency Of Rice, Wheat And Maize Production System: Assessment And Measures For Strengthening Food Security",,
50,Bangladesh,Comilla,113,Rice,2009,0.5,0.50%,,Transportation,Transport,Aus rice,,933,Survey,"B K Bala; M A Haque; Md. Anower Hossain; Shankar Majumdar, (2010), Post Harvest Loss And Technical Efficiency Of Rice, Wheat And Maize Production System: Assessment And Measures For Strengthening Food Security",,
50,Bangladesh,,113,Rice,2009,0.02,0.02%,,Parboiling,Farm,Aus rice,,933,Survey,"B K Bala; M A Haque; Md. Anower Hossain; Shankar Majumdar, (2010), Post Harvest Loss And Technical Efficiency Of Rice, Wheat And Maize Production System: Assessment And Measures For Strengthening Food Security",,
50,Bangladesh,Mymensingh,113,Rice,2009,2.47,2.47%,,Harvesting,Harvest,Boro rice,,933,Survey,"B K Bala; M A Haque; Md. Anower Hossain; Shankar Majumdar, (2010), Post Harvest Loss And Technical Efficiency Of Rice, Wheat And Maize Production System: Assessment And Measures For Strengthening Food Security",,
50,Bangladesh,Mymensingh,113,Rice,2009,2.45,2.45%,,Harvesting,Harvest,Aman rice,,933,Survey,"B K Bala; M A Haque; Md. Anower Hossain; Shankar Majumdar, (2010), Post Harvest Loss And Technical Efficiency Of Rice, Wheat And Maize Production System: Assessment And Measures For Strengthening Food Security",,
50,Bangladesh,Mymensingh,113,Rice,2009,1.19,0.79%,,Processing,Processing,Aman rice,,933,Survey,"B K Bala; M A Haque; Md. Anower Hossain; Shankar Majumdar, (2010), Post Harvest Loss And Technical Efficiency Of Rice, Wheat And Maize Production System: Assessment And Measures For Strengthening Food Security",,
50,Bangladesh,Mymensingh,113,Rice,2009,0.42,0.42%,,Retailing,Retail,Aman rice,,933,Survey,"B K Bala; M A Haque; Md. Anower Hossain; Shankar Majumdar, (2010), Post Harvest Loss And Technical Efficiency Of Rice, Wheat And Maize Production System: Assessment And Measures For Strengthening Food Security",,
50,Bangladesh,Khulna,113,Rice,2009,1.4,1.40%,,Harvesting,Harvest,Boro rice,,933,Survey,"B K Bala; M A Haque; Md. Anower Hossain; Shankar Majumdar, (2010), Post Harvest Loss And Technical Efficiency Of Rice, Wheat And Maize Production System: Assessment And Measures For Strengthening Food Security",,
50,Bangladesh,Mymensingh,113,Rice,2009,1.21,0.81%,,Processing,Processing,Aus rice,,933,Survey,"B K Bala; M A Haque; Md. Anower Hossain; Shankar Majumdar, (2010), Post Harvest Loss And Technical Efficiency Of Rice, Wheat And Maize Production System: Assessment And Measures For Strengthening Food Security",,
50,Bangladesh,Mymensingh,113,Rice,2009,1.19,0.79%,,Processing,Processing,Boro rice,,933,Survey,"B K Bala; M A Haque; Md. Anower Hossain; Shankar Majumdar, (2010), Post Harvest Loss And Technical Efficiency Of Rice, Wheat And Maize Production System: Assessment And Measures For Strengthening Food Security",,
50,Bangladesh,Khulna,113,Rice,2009,0.36,0.36%,,Retailing,Retail,Aus rice,,933,Survey,"B K Bala; M A Haque; Md. Anower Hossain; Shankar Majumdar, (2010), Post Harvest Loss And Technical Efficiency Of Rice, Wheat And Maize Production System: Assessment And Measures For Strengthening Food Security",,
50,Bangladesh,Mymensingh,113,Rice,2009,0.42,0.42%,,Retailing,Retail,Aus rice,,933,Survey,"B K Bala; M A Haque; Md. Anower Hossain; Shankar Majumdar, (2010), Post Harvest Loss And Technical Efficiency Of Rice, Wheat And Maize Production System: Assessment And Measures For Strengthening Food Security",,
50,Bangladesh,Khulna,113,Rice,2009,5.7,5.7%,,Storage,Storage,Aman rice,,933,Survey,"B K Bala; M A Haque; Md. Anower Hossain; Shankar Majumdar, (2010), Post Harvest Loss And Technical Efficiency Of Rice, Wheat And Maize Production System: Assessment And Measures For Strengthening Food Security",,
50,Bangladesh,Khulna,113,Rice,2009,1.7,1.70%,,Processing,Processing,Boro rice,,933,Survey,"B K Bala; M A Haque; Md. Anower Hossain; Shankar Majumdar, (2010), Post Harvest Loss And Technical Efficiency Of Rice, Wheat And Maize Production System: Assessment And Measures For Strengthening Food Security",,
50,Bangladesh,Khulna,113,Rice,2009,2.13,2.13%,,Processing,Processing,Aman rice,,933,Survey,"B K Bala; M A Haque; Md. Anower Hossain; Shankar Majumdar, (2010), Post Harvest Loss And Technical Efficiency Of Rice, Wheat And Maize Production System: Assessment And Measures For Strengthening Food Security",,
50,Bangladesh,Khulna,113,Rice,2009,2.29,2.29%,,Processing,Processing,Aus rice,,933,Survey,"B K Bala; M A Haque; Md. Anower Hossain; Shankar Majumdar, (2010), Post Harvest Loss And Technical Efficiency Of Rice, Wheat And Maize Production System: Assessment And Measures For Strengthening Food Security",,
50,Bangladesh,Khulna,113,Rice,2009,0.38,0.38%,,Retailing,Retail,Boro rice,,933,Survey,"B K Bala; M A Haque; Md. Anower Hossain; Shankar Majumdar, (2010), Post Harvest Loss And Technical Efficiency Of Rice, Wheat And Maize Production System: Assessment And Measures For Strengthening Food Security",,
50,Bangladesh,Khulna,113,Rice,2009,0.36,0.36%,,Retailing,Retail,Aman rice,,933,Survey,"B K Bala; M A Haque; Md. Anower Hossain; Shankar Majumdar, (2010), Post Harvest Loss And Technical Efficiency Of Rice, Wheat And Maize Production System: Assessment And Measures For Strengthening Food Security",,
50,Bangladesh,Comilla,113,Rice,2009,0.15,0.15%,,Retailing,Retail,Boro rice,,933,Survey,"B K Bala; M A Haque; Md. Anower Hossain; Shankar Majumdar, (2010), Post Harvest Loss And Technical Efficiency Of Rice, Wheat And Maize Production System: Assessment And Measures For Strengthening Food Security",,
50,Bangladesh,,113,Rice,2009,2.19,1.79%,,Threshing,Farm,Aus rice,,933,Survey,"B K Bala; M A Haque; Md. Anower Hossain; Shankar Majumdar, (2010), Post Harvest Loss And Technical Efficiency Of Rice, Wheat And Maize Production System: Assessment And Measures For Strengthening Food Security",,
50,Bangladesh,,113,Rice,2009,0.18,0.18%,,Wholesale,Wholesale,Boro rice,,933,Survey,"B K Bala; M A Haque; Md. Anower Hossain; Shankar Majumdar, (2010), Post Harvest Loss And Technical Efficiency Of Rice, Wheat And Maize Production System: Assessment And Measures For Strengthening Food Security",,
50,Bangladesh,,113,Rice,2009,0.19,0.19%,,Wholesale,Wholesale,Aus rice,,933,Survey,"B K Bala; M A Haque; Md. Anower Hossain; Shankar Majumdar, (2010), Post Harvest Loss And Technical Efficiency Of Rice, Wheat And Maize Production System: Assessment And Measures For Strengthening Food Security",,
50,Bangladesh,,113,Rice,2009,1.13,1.13%,,Processing,Processing,Aus rice,,933,Survey,"B K Bala; M A Haque; Md. Anower Hossain; Shankar Majumdar, (2010), Post Harvest Loss And Technical Efficiency Of Rice, Wheat And Maize Production System: Assessment And Measures For Strengthening Food Security",,
50,Bangladesh,,113,Rice,2009,1.3,1.30%,,Processing,Processing,Boro rice,,933,Survey,"B K Bala; M A Haque; Md. Anower Hossain; Shankar Majumdar, (2010), Post Harvest Loss And Technical Efficiency Of Rice, Wheat And Maize Production System: Assessment And Measures For Strengthening Food Security",,
50,Bangladesh,,113,Rice,2009,0.28,0.28%,,Retailing,Retail,Aus rice,,933,Survey,"B K Bala; M A Haque; Md. Anower Hossain; Shankar Majumdar, (2010), Post Harvest Loss And Technical Efficiency Of Rice, Wheat And Maize Production System: Assessment And Measures For Strengthening Food Security",,
50,Bangladesh,,113,Rice,2009,0.31,0.31%,,Retailing,Retail,Boro rice,,933,Survey,"B K Bala; M A Haque; Md. Anower Hossain; Shankar Majumdar, (2010), Post Harvest Loss And Technical Efficiency Of Rice, Wheat And Maize Production System: Assessment And Measures For Strengthening Food Security",,
50,Bangladesh,Khulna,113,Rice,2009,1.5,1.50%,,Threshing,Farm,Aus rice,,933,Survey,"B K Bala; M A Haque; Md. Anower Hossain; Shankar Majumdar, (2010), Post Harvest Loss And Technical Efficiency Of Rice, Wheat And Maize Production System: Assessment And Measures For Strengthening Food Security",,
50,Bangladesh,Dinajpur,113,Rice,2009,12.17,12.17%,,"Cleaning, Collection, Distribution, Drying, Field, Harvesting, Shelling, Storage, Threshing, Transportation",Whole supply chain,Aus rice,,933,Survey,"B K Bala; M A Haque; Md. Anower Hossain; Shankar Majumdar, (2010), Post Harvest Loss And Technical Efficiency Of Rice, Wheat And Maize Production System: Assessment And Measures For Strengthening Food Security",,
50,Bangladesh,Mymensingh,113,Rice,2009,5.22,4.82%,,Storage,Storage,Boro rice,,933,Survey,"B K Bala; M A Haque; Md. Anower Hossain; Shankar Majumdar, (2010), Post Harvest Loss And Technical Efficiency Of Rice, Wheat And Maize Production System: Assessment And Measures For Strengthening Food Security",,
50,Bangladesh,Mymensingh,113,Rice,2009,5.04,4.64%,,Storage,Storage,Aman rice,,933,Survey,"B K Bala; M A Haque; Md. Anower Hossain; Shankar Majumdar, (2010), Post Harvest Loss And Technical Efficiency Of Rice, Wheat And Maize Production System: Assessment And Measures For Strengthening Food Security",,
50,Bangladesh,Mymensingh,113,Rice,2009,0.33,0.33%,,Wholesale,Wholesale,Boro rice,,933,Survey,"B K Bala; M A Haque; Md. Anower Hossain; Shankar Majumdar, (2010), Post Harvest Loss And Technical Efficiency Of Rice, Wheat And Maize Production System: Assessment And Measures For Strengthening Food Security",,
50,Bangladesh,Mymensingh,113,Rice,2009,2.04,1.64%,,Transportation,Transport,Aus rice,,933,Survey,"B K Bala; M A Haque; Md. Anower Hossain; Shankar Majumdar, (2010), Post Harvest Loss And Technical Efficiency Of Rice, Wheat And Maize Production System: Assessment And Measures For Strengthening Food Security",,
50,Bangladesh,Mymensingh,113,Rice,2009,15.3,15.30%,,"Cleaning, Collection, Distribution, Drying, Field, Harvesting, Shelling, Storage, Threshing, Transportation",Whole supply chain,Aus rice,,933,Survey,"B K Bala; M A Haque; Md. Anower Hossain; Shankar Majumdar, (2010), Post Harvest Loss And Technical Efficiency Of Rice, Wheat And Maize Production System: Assessment And Measures For Strengthening Food Security",,
50,Bangladesh,Mymensingh,113,Rice,2009,0.33,0.33%,,Wholesale,Wholesale,Aus rice,,933,Survey,"B K Bala; M A Haque; Md. Anower Hossain; Shankar Majumdar, (2010), Post Harvest Loss And Technical Efficiency Of Rice, Wheat And Maize Production System: Assessment And Measures For Strengthening Food Security",,
50,Bangladesh,Khulna,113,Rice,2009,0.2,0.2%,,Wholesale,Wholesale,Aus rice,,933,Survey,"B K Bala; M A Haque; Md. Anower Hossain; Shankar Majumdar, (2010), Post Harvest Loss And Technical Efficiency Of Rice, Wheat And Maize Production System: Assessment And Measures For Strengthening Food Security",,
50,Bangladesh,Khulna,113,Rice,2009,0.25,0.25%,,Transportation,Transport,Aus rice,,933,Survey,"B K Bala; M A Haque; Md. Anower Hossain; Shankar Majumdar, (2010), Post Harvest Loss And Technical Efficiency Of Rice, Wheat And Maize Production System: Assessment And Measures For Strengthening Food Security",,
50,Bangladesh,Khulna,113,Rice,2009,1.03,1.03%,,Transportation,Transport,Boro rice,,933,Survey,"B K Bala; M A Haque; Md. Anower Hossain; Shankar Majumdar, (2010), Post Harvest Loss And Technical Efficiency Of Rice, Wheat And Maize Production System: Assessment And Measures For Strengthening Food Security",,
50,Bangladesh,Khulna,113,Rice,2009,5,5.00%,,Storage,Storage,Aus rice,,933,Survey,"B K Bala; M A Haque; Md. Anower Hossain; Shankar Majumdar, (2010), Post Harvest Loss And Technical Efficiency Of Rice, Wheat And Maize Production System: Assessment And Measures For Strengthening Food Security",,
50,Bangladesh,Dinajpur,113,Rice,2009,0.17,0.17%,,Wholesale,Wholesale,Aus rice,,933,Survey,"B K Bala; M A Haque; Md. Anower Hossain; Shankar Majumdar, (2010), Post Harvest Loss And Technical Efficiency Of Rice, Wheat And Maize Production System: Assessment And Measures For Strengthening Food Security",,
50,Bangladesh,Comilla,113,Rice,2009,0.02,0.02%,,Parboiling,Farm,Boro rice,,933,Survey,"B K Bala; M A Haque; Md. Anower Hossain; Shankar Majumdar, (2010), Post Harvest Loss And Technical Efficiency Of Rice, Wheat And Maize Production System: Assessment And Measures For Strengthening Food Security",,
50,Bangladesh,Comilla,113,Rice,2009,1.03,0.63%,,Transportation,Transport,Aman rice,,933,Survey,"B K Bala; M A Haque; Md. Anower Hossain; Shankar Majumdar, (2010), Post Harvest Loss And Technical Efficiency Of Rice, Wheat And Maize Production System: Assessment And Measures For Strengthening Food Security",,
50,Bangladesh,Comilla,113,Rice,2009,7.19,6.79%,,"Cleaning, Collection, Distribution, Drying, Field, Harvesting, Shelling, Storage, Threshing, Transportation",Whole supply chain,Boro rice,,933,Survey,"B K Bala; M A Haque; Md. Anower Hossain; Shankar Majumdar, (2010), Post Harvest Loss And Technical Efficiency Of Rice, Wheat And Maize Production System: Assessment And Measures For Strengthening Food Security",,
50,Bangladesh,,113,Rice,2009,0.17,0.17%,,Wholesale,Wholesale,Aman rice,,933,Survey,"B K Bala; M A Haque; Md. Anower Hossain; Shankar Majumdar, (2010), Post Harvest Loss And Technical Efficiency Of Rice, Wheat And Maize Production System: Assessment And Measures For Strengthening Food Security",,
50,Bangladesh,Comilla,113,Rice,2009,2.58,2.58%,,Storage,Storage,Aus rice,,933,Survey,"B K Bala; M A Haque; Md. Anower Hossain; Shankar Majumdar, (2010), Post Harvest Loss And Technical Efficiency Of Rice, Wheat And Maize Production System: Assessment And Measures For Strengthening Food Security",,
50,Bangladesh,Mymensingh,113,Rice,2009,2.23,2.23%,,Threshing,Farm,Boro rice,,933,Survey,"B K Bala; M A Haque; Md. Anower Hossain; Shankar Majumdar, (2010), Post Harvest Loss And Technical Efficiency Of Rice, Wheat And Maize Production System: Assessment And Measures For Strengthening Food Security",,
50,Bangladesh,,113,Rice,2009,3.7,3.70%,,Storage,Storage,Aman rice,,933,Survey,"B K Bala; M A Haque; Md. Anower Hossain; Shankar Majumdar, (2010), Post Harvest Loss And Technical Efficiency Of Rice, Wheat And Maize Production System: Assessment And Measures For Strengthening Food Security",,
50,Bangladesh,Comilla,113,Rice,2009,0.02,0.02%,,Parboiling,Farm,Aman rice,,933,Survey,"B K Bala; M A Haque; Md. Anower Hossain; Shankar Majumdar, (2010), Post Harvest Loss And Technical Efficiency Of Rice, Wheat And Maize Production System: Assessment And Measures For Strengthening Food Security",,
50,Bangladesh,,113,Rice,2009,2.31,1.91%,,Harvesting,Harvest,Aus rice,,933,Survey,"B K Bala; M A Haque; Md. Anower Hossain; Shankar Majumdar, (2010), Post Harvest Loss And Technical Efficiency Of Rice, Wheat And Maize Production System: Assessment And Measures For Strengthening Food Security",,
50,Bangladesh,Mymensingh,113,Rice,2009,3.36,2.96%,,Threshing,Farm,Aus rice,,933,Survey,"B K Bala; M A Haque; Md. Anower Hossain; Shankar Majumdar, (2010), Post Harvest Loss And Technical Efficiency Of Rice, Wheat And Maize Production System: Assessment And Measures For Strengthening Food Security",,
50,Bangladesh,Mymensingh,113,Rice,2009,4.3,4.30%,,Storage,Storage,Aus rice,,933,Survey,"B K Bala; M A Haque; Md. Anower Hossain; Shankar Majumdar, (2010), Post Harvest Loss And Technical Efficiency Of Rice, Wheat And Maize Production System: Assessment And Measures For Strengthening Food Security",,
50,Bangladesh,Mymensingh,113,Rice,2009,3.27,2.87%,,Drying,Farm,Aman rice,,933,Survey,"B K Bala; M A Haque; Md. Anower Hossain; Shankar Majumdar, (2010), Post Harvest Loss And Technical Efficiency Of Rice, Wheat And Maize Production System: Assessment And Measures For Strengthening Food Security",,
50,Bangladesh,,1510,Potatoes,2009,5.2,5.2%,,,Whole supply chain,Harvest season,,,Literature Review,"COMCEC, (2016), Reducing Postharvest Losses In The Oic Member Countries",http://www.mod.gov.tr/Lists/RecentPublications/Attachments/120/Reducing%20Postharvest%20Losses%20in%20the%20OIC%20Member%20Countries.pdf,
50,Bangladesh,,1510,Potatoes,2009,6.4,6.4%,,,Whole supply chain,Off season losses,Off-season losses,,Literature Review,"COMCEC, (2016), Reducing Postharvest Losses In The Oic Member Countries",http://www.mod.gov.tr/Lists/RecentPublications/Attachments/120/Reducing%20Postharvest%20Losses%20in%20the%20OIC%20Member%20Countries.pdf,
50,Bangladesh,,113,Rice,2009,4.3,4.3%,,Storage,Storage,Aus rice - Large scale farmers,,,Survey,"M. Z. Abedin; M. Z. Rahman; M. I. A. Mia; K. M. M. Rahman3, (2012), In-store Losses Of Rice And Ways Of Reducing Such Losses At Farmers’ Level: An Assessment In Selected Regions Of Bangladesh",,
50,Bangladesh,,113,Rice,2009,3.52,3.52%,,Storage,Storage,Aus rice - Small scale farmers,,,Survey,"M. Z. Abedin; M. Z. Rahman; M. I. A. Mia; K. M. M. Rahman3, (2012), In-store Losses Of Rice And Ways Of Reducing Such Losses At Farmers’ Level: An Assessment In Selected Regions Of Bangladesh",,
50,Bangladesh,,113,Rice,2009,3.8,3.80%,,Storage,Storage,Aman rice,,,Survey,"M. Z. Abedin; M. Z. Rahman; M. I. A. Mia; K. M. M. Rahman3, (2012), In-store Losses Of Rice And Ways Of Reducing Such Losses At Farmers’ Level: An Assessment In Selected Regions Of Bangladesh",,
50,Bangladesh,Region - 1,113,Rice,2009,3.1,3.1,,Storage,Storage,Marginal Scale,,,Survey,"M. Z. Abedin; M. Z. Rahman; M. I. A. Mia; K. M. M. Rahman3, (2012), In-store Losses Of Rice And Ways Of Reducing Such Losses At Farmers’ Level: An Assessment In Selected Regions Of Bangladesh",,
50,Bangladesh,,113,Rice,2009,4,4.0%,,Storage,Storage,Aman rice - Small Scale farmers,,,Survey,"M. Z. Abedin; M. Z. Rahman; M. I. A. Mia; K. M. M. Rahman3, (2012), In-store Losses Of Rice And Ways Of Reducing Such Losses At Farmers’ Level: An Assessment In Selected Regions Of Bangladesh",,
